SchoolYear,ESD Number,District Code,DIstrict Name,School Code,School Name,Accountability Status,1003 Award,Guidance and Counseling,Teaching,Instructional Professional Development,Instructional Technology,Curriculum,Supervision,Health/Related Services,Learning Resources,Operation of Buildings,Maintenance,Utilities,Pupil Management and Safety,No Activity Reported,,,
2022-2023,ESD 112,6037,Vancouver School District,3146,Mcloughlin Middle School,Target3+,45000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 112,6114,Evergreen School District (Clark),2912,Orchards Elementary School,COMPRSCH,75855,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 112,6114,Evergreen School District (Clark),4042,Legacy High School,COMPRSCH,75855,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 112,6114,Evergreen School District (Clark),3320,Covington Middle School,Target3+,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 112,8122,Longview School District,2370,Saint Helens Elementary School,COMPRSCH,75855,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 112,8122,Longview School District,2914,Northlake Elementary School,COMPRSCH,75855,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 112,8122,Longview School District,2319,Kessler Elementary School,COMPRSCH,75855,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 112,8122,Longview School District,2831,Monticello Middle School,TargetEL,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 112,8458,Kelso School District,1934,Loowit High School,LOWGRADS,65275,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 171,9075,Bridgeport School District,2562,Bridgeport Elementary School,COMPRSCH,75855,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 101,10003,Keller School District,2602,Keller Elementary School,COMPRSCH,75855,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 101,10309,Republic School District,3559,Republic Junior High School,COMPRSCH,75855,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 123,11001,Pasco School District,3515,Robert Frost Elementary School,COMPRSCH,75855,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 123,11001,Pasco School District,5392,Captain Gray STEM Elementary School,COMPRSCH,75855,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 123,11001,Pasco School District,3912,New Horizons High School,COMPRSCH,75855,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 123,11001,Pasco School District,2967,Emerson Elementary School,TargetEL,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 123,11051,North Franklin School District,3325,Basin City Elementary School,COMPRSCH,75855,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 123,11051,North Franklin School District,1754,Palouse Junction High School,LOWGRADS,65275,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 123,11051,North Franklin School District,2198,Robert L Olds Junior High School,TargetEL,30000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 105,13073,Wahluke School District,4490,Saddle Mountain Elementary School,COMPRSCH,75855,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 105,13073,Wahluke School District,1835,Sentinel Tech Alt School,LOWGRADS,65275,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 171,13144,Quincy School District,5648,Quincy Innovation Academy,COMPRSCH,75855,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 171,13144,Quincy School District,2510,Quincy Middle School,COMPRSCH,75855,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
